Aujard Start : 1? 11? 18? 0?
2026-1-11 18:2, * Packet Count : recv=0, send=0, realsend=0 , time = 18:2

2026-1-11 18:4, * Packet Count : recv=0, send=0, realsend=0 , time = 18:4

2026-1-11 18:6, * Packet Count : recv=0, send=0, realsend=0 , time = 18:6

2026-1-11 18:8, * Packet Count : recv=0, send=0, realsend=0 , time = 18:8

2026-1-11 18:10, * Packet Count : recv=0, send=0, realsend=0 , time = 18:10

2026-1-11 18:12, * Packet Count : recv=0, send=0, realsend=0 , time = 18:12

2026-1-11 18:14, * Packet Count : recv=0, send=0, realsend=0 , time = 18:14

2026-1-11 18:16, * Packet Count : recv=0, send=0, realsend=0 , time = 18:16

2026-1-11 18:18, * Packet Count : recv=0, send=0, realsend=0 , time = 18:18

2026-1-11 18:20, * Packet Count : recv=0, send=0, realsend=0 , time = 18:20

2026-1-11 18:22, * Packet Count : recv=0, send=0, realsend=0 , time = 18:22

2026-1-11 18:24, * Packet Count : recv=0, send=0, realsend=0 , time = 18:24

2026-1-11 18:26, * Packet Count : recv=0, send=0, realsend=0 , time = 18:26

2026-1-11 18:28, * Packet Count : recv=0, send=0, realsend=0 , time = 18:28

2026-1-11 18:30, * Packet Count : recv=0, send=0, realsend=0 , time = 18:30

2026-1-11 18:32, * Packet Count : recv=0, send=0, realsend=0 , time = 18:32

2026-1-11 18:34, * Packet Count : recv=0, send=0, realsend=0 , time = 18:34

2026-1-11 18:36, * Packet Count : recv=0, send=0, realsend=0 , time = 18:36

2026-1-11 18:38, * Packet Count : recv=0, send=0, realsend=0 , time = 18:38

2026-1-11 18:40, * Packet Count : recv=0, send=0, realsend=0 , time = 18:40

2026-1-11 18:42, * Packet Count : recv=0, send=0, realsend=0 , time = 18:42

2026-1-11 18:44, * Packet Count : recv=0, send=0, realsend=0 , time = 18:44

2026-1-11 18:46, * Packet Count : recv=0, send=0, realsend=0 , time = 18:46

2026-1-11 18:48, * Packet Count : recv=0, send=0, realsend=0 , time = 18:48

2026-1-11 18:50, * Packet Count : recv=0, send=0, realsend=0 , time = 18:50

2026-1-11 18:52, * Packet Count : recv=0, send=0, realsend=0 , time = 18:52

2026-1-11 18:54, * Packet Count : recv=0, send=0, realsend=0 , time = 18:54

2026-1-11 18:56, * Packet Count : recv=0, send=0, realsend=0 , time = 18:56

2026-1-11 18:58, * Packet Count : recv=0, send=0, realsend=0 , time = 18:58

2026-1-11 19:0, * Packet Count : recv=0, send=0, realsend=0 , time = 19:0

2026-1-11 19:2, * Packet Count : recv=0, send=0, realsend=0 , time = 19:2

2026-1-11 19:4, * Packet Count : recv=0, send=0, realsend=0 , time = 19:4

2026-1-11 19:6, * Packet Count : recv=0, send=0, realsend=0 , time = 19:6

2026-1-11 19:8, * Packet Count : recv=0, send=0, realsend=0 , time = 19:8

2026-1-11 19:10, * Packet Count : recv=0, send=0, realsend=0 , time = 19:10

2026-1-11 19:12, * Packet Count : recv=0, send=0, realsend=0 , time = 19:12

2026-1-11 19:14, * Packet Count : recv=0, send=0, realsend=0 , time = 19:14

2026-1-11 19:16, * Packet Count : recv=0, send=0, realsend=0 , time = 19:16

2026-1-11 19:18, * Packet Count : recv=0, send=0, realsend=0 , time = 19:18

2026-1-11 19:20, * Packet Count : recv=0, send=0, realsend=0 , time = 19:20

2026-1-11 19:22, * Packet Count : recv=0, send=0, realsend=0 , time = 19:22

2026-1-11 19:24, * Packet Count : recv=0, send=0, realsend=0 , time = 19:24

2026-1-11 19:26, * Packet Count : recv=0, send=0, realsend=0 , time = 19:26

2026-1-11 19:28, * Packet Count : recv=0, send=0, realsend=0 , time = 19:28

2026-1-11 19:30, * Packet Count : recv=0, send=0, realsend=0 , time = 19:30

2026-1-11 19:32, * Packet Count : recv=0, send=0, realsend=0 , time = 19:32

2026-1-11 19:34, * Packet Count : recv=0, send=0, realsend=0 , time = 19:34

2026-1-11 19:36, * Packet Count : recv=0, send=0, realsend=0 , time = 19:36

2026-1-11 19:38, * Packet Count : recv=0, send=0, realsend=0 , time = 19:38

2026-1-11 19:40, * Packet Count : recv=0, send=0, realsend=0 , time = 19:40

2026-1-11 19:42, * Packet Count : recv=0, send=0, realsend=0 , time = 19:42

2026-1-11 19:44, * Packet Count : recv=0, send=0, realsend=0 , time = 19:44

2026-1-11 22:23, * Packet Count : recv=0, send=0, realsend=0 , time = 22:23

2026-1-11 22:25, * Packet Count : recv=0, send=0, realsend=0 , time = 22:25

2026-1-11 22:27, * Packet Count : recv=0, send=0, realsend=0 , time = 22:27

2026-1-11 22:29, * Packet Count : recv=0, send=0, realsend=0 , time = 22:29

2026-1-11 22:31, * Packet Count : recv=0, send=0, realsend=0 , time = 22:31

2026-1-11 22:33, * Packet Count : recv=0, send=0, realsend=0 , time = 22:33

2026-1-11 22:35, * Packet Count : recv=0, send=0, realsend=0 , time = 22:35

2026-1-11 22:37, * Packet Count : recv=0, send=0, realsend=0 , time = 22:37

2026-1-11 22:39, * Packet Count : recv=0, send=0, realsend=0 , time = 22:39

2026-1-11 22:41, * Packet Count : recv=0, send=0, realsend=0 , time = 22:41

2026-1-11 22:43, * Packet Count : recv=0, send=0, realsend=0 , time = 22:43

2026-1-11 22:45, * Packet Count : recv=0, send=0, realsend=0 , time = 22:45

2026-1-11 22:47, * Packet Count : recv=0, send=0, realsend=0 , time = 22:47

2026-1-11 22:49, * Packet Count : recv=0, send=0, realsend=0 , time = 22:49

2026-1-11 22:51, * Packet Count : recv=0, send=0, realsend=0 , time = 22:51

2026-1-11 22:53, * Packet Count : recv=0, send=0, realsend=0 , time = 22:53

2026-1-11 22:55, * Packet Count : recv=0, send=0, realsend=0 , time = 22:55

2026-1-11 22:57, * Packet Count : recv=0, send=0, realsend=0 , time = 22:57

2026-1-11 22:59, * Packet Count : recv=0, send=0, realsend=0 , time = 22:59

2026-1-11 23:1, * Packet Count : recv=0, send=0, realsend=0 , time = 23:1

