2026-1-12 0:1, * Packet Count : recv=0, send=0, realsend=0 , time = 0:1

2026-1-12 0:3, * Packet Count : recv=0, send=0, realsend=0 , time = 0:3

2026-1-12 0:5, * Packet Count : recv=0, send=0, realsend=0 , time = 0:5

2026-1-12 0:7, * Packet Count : recv=0, send=0, realsend=0 , time = 0:7

2026-1-12 0:9, * Packet Count : recv=0, send=0, realsend=0 , time = 0:9

2026-1-12 0:11, * Packet Count : recv=0, send=0, realsend=0 , time = 0:11

2026-1-12 0:13, * Packet Count : recv=0, send=0, realsend=0 , time = 0:13

2026-1-12 0:15, * Packet Count : recv=0, send=0, realsend=0 , time = 0:15

2026-1-12 0:17, * Packet Count : recv=0, send=0, realsend=0 , time = 0:17

2026-1-12 0:19, * Packet Count : recv=0, send=0, realsend=0 , time = 0:19

Aujard Start : 1? 12? 19? 21?
2026-1-12 19:23, * Packet Count : recv=0, send=0, realsend=0 , time = 19:23

2026-1-12 19:25, * Packet Count : recv=0, send=0, realsend=0 , time = 19:25

2026-1-12 19:27, * Packet Count : recv=0, send=0, realsend=0 , time = 19:27

2026-1-12 19:29, * Packet Count : recv=0, send=0, realsend=0 , time = 19:29

2026-1-12 19:31, * Packet Count : recv=0, send=0, realsend=0 , time = 19:31

2026-1-12 19:33, * Packet Count : recv=0, send=0, realsend=0 , time = 19:33

2026-1-12 19:35, * Packet Count : recv=0, send=0, realsend=0 , time = 19:35

2026-1-12 19:37, * Packet Count : recv=0, send=0, realsend=0 , time = 19:37

2026-1-12 19:39, * Packet Count : recv=0, send=0, realsend=0 , time = 19:39

2026-1-12 19:41, * Packet Count : recv=0, send=0, realsend=0 , time = 19:41

2026-1-12 19:43, * Packet Count : recv=0, send=0, realsend=0 , time = 19:43

2026-1-12 19:45, * Packet Count : recv=0, send=0, realsend=0 , time = 19:45

2026-1-12 19:47, * Packet Count : recv=0, send=0, realsend=0 , time = 19:47

2026-1-12 19:49, * Packet Count : recv=0, send=0, realsend=0 , time = 19:49

2026-1-12 19:51, * Packet Count : recv=0, send=0, realsend=0 , time = 19:51

2026-1-12 19:53, * Packet Count : recv=0, send=0, realsend=0 , time = 19:53

2026-1-12 19:55, * Packet Count : recv=0, send=0, realsend=0 , time = 19:55

2026-1-12 19:57, * Packet Count : recv=0, send=0, realsend=0 , time = 19:57

